Id,MSSubClass,MSZoning,Street,LotShape,BldgType,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,Pave,Reg,1Fam,7,2003,2003,BrkFace,Ex,Y,1710,2,1,3,1,Gd,8,0,2,0,2,2008,WD,Normal,208500
2,20,RL,Pave,Reg,1Fam,6,1976,1976,None,Ex,Y,1262,2,0,3,1,TA,6,1,2,0,5,2007,WD,Normal,181500
3,60,RL,Pave,IR1,1Fam,7,2001,2002,BrkFace,Ex,Y,1786,2,1,3,1,Gd,6,1,2,0,9,2008,WD,Normal,223500
4,70,RL,Pave,IR1,1Fam,7,1915,1970,None,Gd,Y,1717,1,0,3,1,Gd,7,1,3,0,2,2006,WD,Abnorml,140000
5,60,RL,Pave,IR1,1Fam,8,2000,2000,BrkFace,Ex,Y,2198,2,1,4,1,Gd,9,1,3,0,12,2008,WD,Normal,250000
6,50,RL,Pave,IR1,1Fam,5,1993,1995,None,Ex,Y,1362,1,1,1,1,TA,5,0,2,700,10,2009,WD,Normal,143000
7,20,RL,Pave,Reg,1Fam,8,2004,2005,Stone,Ex,Y,1694,2,0,3,1,Gd,7,1,2,0,8,2007,WD,Normal,307000
8,60,RL,Pave,IR1,1Fam,7,1973,1973,Stone,Ex,Y,2090,2,1,3,1,TA,7,2,2,350,11,2009,WD,Normal,200000
9,50,RM,Pave,Reg,1Fam,7,1931,1950,None,Gd,Y,1774,2,0,2,2,TA,8,2,2,0,4,2008,WD,Abnorml,129900
10,190,RL,Pave,Reg,2fmCon,5,1939,1950,None,Ex,Y,1077,1,0,2,2,TA,5,2,1,0,1,2008,WD,Normal,118000
11,20,RL,Pave,Reg,1Fam,5,1965,1965,None,Ex,Y,1040,1,0,3,1,TA,5,0,1,0,2,2008,WD,Normal,129500
12,60,RL,Pave,IR1,1Fam,9,2005,2006,Stone,Ex,Y,2324,3,0,4,1,Ex,11,2,3,0,7,2006,New,Partial,345000
13,20,RL,Pave,IR2,1Fam,5,1962,1962,None,TA,Y,912,1,0,2,1,TA,4,0,1,0,9,2008,WD,Normal,144000
14,20,RL,Pave,IR1,1Fam,7,2006,2007,Stone,Ex,Y,1494,2,0,3,1,Gd,7,1,3,0,8,2007,New,Partial,279500
15,20,RL,Pave,IR1,1Fam,6,1960,1960,BrkFace,TA,Y,1253,1,1,2,1,TA,5,1,1,0,5,2008,WD,Normal,157000
16,45,RM,Pave,Reg,1Fam,7,1929,2001,None,Ex,Y,854,1,0,2,1,TA,5,0,2,0,7,2007,WD,Normal,132000
17,20,RL,Pave,IR1,1Fam,6,1970,1970,BrkFace,Ex,Y,1004,1,0,2,1,TA,5,1,2,700,3,2010,WD,Normal,149000
18,90,RL,Pave,Reg,Duplex,4,1967,1967,None,TA,Y,1296,2,0,2,2,TA,6,0,2,500,10,2006,WD,Normal,90000
19,20,RL,Pave,Reg,1Fam,5,2004,2004,None,Ex,Y,1114,1,1,3,1,Gd,6,0,2,0,6,2008,WD,Normal,159000
20,20,RL,Pave,Reg,1Fam,5,1958,1965,None,TA,Y,1339,1,0,3,1,TA,6,0,1,0,5,2009,COD,Abnorml,139000
21,60,RL,Pave,IR1,1Fam,8,2005,2006,BrkFace,Ex,Y,2376,3,1,4,1,Gd,9,1,3,0,11,2006,New,Partial,325300
22,45,RM,Pave,Reg,1Fam,7,1930,1950,None,Ex,Y,1108,1,0,3,1,Gd,6,1,1,0,6,2007,WD,Normal,139400
23,20,RL,Pave,Reg,1Fam,8,2002,2002,BrkFace,Ex,Y,1795,2,0,3,1,Gd,7,1,2,0,9,2008,WD,Normal,230000
24,120,RM,Pave,Reg,TwnhsE,5,1976,1976,None,TA,Y,1060,1,0,3,1,TA,6,1,2,0,6,2007,WD,Normal,129900
25,20,RL,Pave,IR1,1Fam,5,1968,2001,None,Ex,Y,1060,1,0,3,1,Gd,6,1,1,0,5,2010,WD,Normal,154000
26,20,RL,Pave,Reg,1Fam,8,2007,2007,Stone,Ex,Y,1600,2,0,3,1,Gd,7,1,3,0,7,2009,WD,Normal,256300
